               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  22,            0.024708,            0.014807,                   0,              0.9777,             0.97608,             0.98516,             0.83068,             0.01767,           0.0091022,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.025533,            0.015204,                   0,             0.97603,             0.97628,             0.98275,              0.8322,            0.015645,           0.0090322,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025203,            0.014525,                   0,             0.97899,             0.97945,             0.98392,             0.83064,            0.016497,           0.0091169,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.024298,            0.013975,                   0,             0.97505,             0.98116,             0.98451,             0.81742,             0.01751,             0.00915,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.024073,            0.014462,                   0,             0.98574,             0.97945,              0.9843,             0.82759,             0.01574,           0.0086927,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.022328,            0.014534,                   0,             0.97923,             0.97774,             0.98595,             0.82073,            0.017215,           0.0090784,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.022687,            0.013654,                   0,             0.98297,             0.97945,             0.98475,             0.81598,            0.016593,           0.0089379,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.022464,            0.013846,                   0,             0.98242,             0.97945,             0.98677,             0.81743,            0.016761,           0.0086815,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.02303,            0.014218,                   0,             0.98448,             0.97726,             0.98634,             0.84776,            0.014924,            0.008678,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.022289,            0.014274,                   0,             0.97667,             0.97603,             0.98543,             0.82509,            0.016002,            0.008659,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.021655,            0.013693,                   0,             0.98258,             0.98116,             0.99186,             0.82963,            0.016233,           0.0087995,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.021658,            0.013662,                   0,             0.97987,             0.97774,             0.98683,             0.84568,            0.014484,           0.0085118,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.02057,            0.012955,                   0,             0.98549,             0.98116,             0.99216,             0.84139,            0.015042,           0.0082614,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.021051,            0.013317,                   0,              0.9853,             0.98116,             0.98871,              0.8661,            0.014189,           0.0081802,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.021483,            0.013476,                   0,             0.98342,             0.98116,             0.98751,             0.84863,            0.015094,           0.0085205,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.021061,            0.013857,                   0,             0.98511,             0.98116,             0.98679,             0.85802,            0.014006,           0.0081715,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.020504,            0.013159,                   0,             0.98448,             0.97741,             0.98692,             0.86909,            0.013599,           0.0079779,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.01974,            0.012922,                   0,             0.98658,             0.98116,             0.99298,             0.85264,            0.015412,           0.0082292,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.019797,             0.01258,                   0,             0.98626,             0.98308,             0.99301,             0.85108,            0.014781,           0.0081841,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.020393,            0.012794,                   0,             0.98624,             0.98212,             0.98826,             0.88389,            0.013731,            0.008067,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.019901,            0.012839,                   0,             0.98285,             0.98113,              0.9921,             0.87537,            0.013597,           0.0078561,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.019748,            0.012794,                   0,             0.98622,             0.98057,             0.99307,             0.87803,            0.013777,           0.0079426,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.019509,             0.01317,                   0,             0.98252,             0.98116,             0.99283,             0.88749,            0.012387,           0.0075593,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.019006,            0.012415,                   0,             0.98123,             0.97945,              0.9928,             0.87658,            0.012853,           0.0078486,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.018801,            0.012594,                   0,             0.98116,             0.98083,             0.99286,             0.84504,             0.01432,           0.0082238,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.018133,            0.012746,                   0,             0.98182,             0.98116,             0.99287,             0.89723,            0.012588,           0.0076504,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.017923,            0.012495,                   0,             0.98603,             0.98288,             0.99116,             0.89187,            0.013047,           0.0075965,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.018618,            0.012783,                   0,             0.98622,             0.98288,             0.99312,             0.88535,            0.012688,           0.0076281,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.017983,              0.0124,                   0,             0.98454,              0.9812,             0.99328,             0.88544,            0.012575,           0.0075418,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.017266,            0.012492,                   0,             0.98238,             0.98288,             0.99312,             0.90562,             0.01146,           0.0072558,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.017521,            0.012043,                   0,             0.98793,             0.98108,              0.9933,             0.89009,            0.012145,           0.0073655,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.017628,            0.012345,                   0,             0.98819,             0.98459,             0.99319,             0.89987,            0.011797,           0.0073149,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.017464,            0.012046,                   0,             0.98597,             0.98459,             0.99379,             0.89365,            0.011946,           0.0072182,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.017486,            0.012216,                   0,             0.98444,             0.98116,             0.99305,              0.9194,             0.01096,            0.007155,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.016868,            0.011654,                   0,             0.98587,             0.98459,             0.99335,             0.90701,            0.011374,           0.0072475,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.016788,            0.011865,                   0,             0.98416,             0.98116,             0.99332,             0.91189,            0.011091,           0.0071914,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.016549,            0.012104,                   0,             0.98413,             0.98459,             0.99345,             0.89959,            0.011905,           0.0072733,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.016528,             0.01205,                   0,             0.98464,             0.98459,             0.99342,             0.90301,            0.011716,           0.0072422,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.016206,            0.011946,                   0,             0.98565,             0.98459,             0.99345,             0.93356,            0.010434,           0.0069799,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.015602,            0.011579,                   0,             0.98656,             0.98288,             0.99376,             0.91532,            0.011309,           0.0071507,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.016067,            0.011686,                   0,             0.98625,             0.98244,              0.9935,             0.91807,             0.01152,           0.0071939,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.016168,            0.011526,                   0,             0.98641,             0.98288,             0.99323,             0.94029,            0.010672,           0.0069415,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.015801,            0.011194,                   0,             0.98625,              0.9828,              0.9933,             0.89916,            0.011721,           0.0073738,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.015668,            0.011379,                   0,             0.98602,             0.98288,             0.99379,             0.93093,            0.010471,           0.0068307,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.015336,            0.011178,                   0,             0.98625,             0.98242,             0.99345,             0.91767,             0.01106,             0.00694,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.015352,            0.011479,                   0,             0.98625,             0.98279,             0.99309,             0.93875,            0.010416,           0.0068338,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.01476,            0.010883,                   0,             0.98701,             0.98459,             0.99333,             0.92451,            0.010588,           0.0069206,                   0,            0.003367,            0.003367,            0.003367
                  69,              0.0149,            0.010881,                   0,             0.98623,             0.98107,             0.99351,             0.93135,            0.010424,           0.0069214,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.015034,            0.011645,                   0,              0.9873,             0.98288,             0.99363,             0.91862,            0.010979,           0.0069467,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.014215,            0.011221,                   0,             0.98698,             0.98288,             0.99371,             0.91408,            0.011075,           0.0070349,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.014073,            0.010621,                   0,             0.98624,             0.98191,             0.99357,             0.93623,           0.0098652,           0.0066594,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.014498,            0.010817,                   0,             0.98692,             0.98288,             0.99366,             0.93336,            0.010418,           0.0067845,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.014644,            0.010804,                   0,             0.98749,             0.98288,             0.99388,             0.94052,            0.009738,           0.0065364,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.013833,            0.011089,                   0,             0.98582,             0.98288,             0.99377,              0.9435,           0.0098756,            0.006558,                   0,            0.002674,            0.002674,            0.002674
                  76,              0.0134,            0.011057,                   0,              0.9891,             0.98459,             0.99365,             0.94063,            0.010108,           0.0065904,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.013968,            0.011003,                   0,             0.98866,             0.98459,             0.99359,             0.93417,            0.010024,           0.0066011,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.013612,            0.010299,                   0,               0.989,             0.98459,             0.99368,             0.93918,           0.0097955,           0.0067401,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.013445,            0.010557,                   0,             0.98895,             0.98459,             0.99372,             0.93915,           0.0098113,           0.0064681,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.013489,            0.010511,                   0,             0.98878,             0.98459,             0.99351,             0.94063,           0.0095907,           0.0064892,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.013555,            0.010857,                   0,             0.98967,             0.98425,             0.99373,             0.94027,           0.0094884,           0.0064465,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.012832,            0.010266,                   0,             0.98865,             0.98288,              0.9936,             0.94252,           0.0096389,           0.0065222,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.012827,            0.010411,                   0,             0.98886,             0.98459,             0.99363,              0.9421,           0.0096302,           0.0064034,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.012818,           0.0096775,                   0,             0.98883,             0.98459,             0.99363,             0.94771,           0.0094889,           0.0063883,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.012872,            0.010177,                   0,             0.98894,             0.98459,              0.9938,             0.93736,           0.0096297,           0.0064313,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.012576,            0.010465,                   0,             0.98889,             0.98459,             0.99393,             0.95166,           0.0089287,           0.0062362,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.012223,            0.010193,                   0,             0.98897,             0.98459,             0.99381,              0.9493,           0.0093879,           0.0062677,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.012547,           0.0098561,                   0,              0.9888,             0.98459,             0.99364,             0.95199,           0.0091025,           0.0061511,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.012945,            0.010353,                   0,             0.98891,             0.98459,             0.99363,             0.94977,           0.0093999,           0.0063851,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.012414,           0.0099443,                   0,              0.9894,             0.98459,             0.99366,             0.94925,           0.0094942,           0.0064797,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.01218,           0.0099691,                   0,             0.98774,             0.98459,             0.99371,             0.95301,           0.0090907,           0.0060859,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.012227,            0.009941,                   0,              0.9889,             0.98459,             0.99383,             0.95386,           0.0093599,           0.0063446,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.012692,            0.010206,                   0,             0.98889,             0.98459,             0.99393,             0.95209,           0.0090508,           0.0061252,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.012311,            0.010124,                   0,             0.98885,             0.98459,             0.99385,             0.95194,           0.0090497,           0.0061808,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.012012,           0.0098897,                   0,               0.989,             0.98459,             0.99377,             0.95235,           0.0088679,           0.0061233,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01222,            0.010119,                   0,             0.98909,             0.98459,             0.99367,             0.95359,           0.0089418,           0.0061917,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.012437,            0.010092,                   0,              0.9891,             0.98459,             0.99373,              0.9541,           0.0089808,           0.0061379,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.011621,           0.0093568,                   0,             0.98916,             0.98459,              0.9937,             0.95673,           0.0086424,           0.0060071,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.011777,           0.0095557,                   0,             0.98916,             0.98459,             0.99371,             0.94662,           0.0092795,           0.0062507,                   0,            0.000298,            0.000298,            0.000298
